DateHitNumberOne,Artist,Song,WeeksAtNumberOne
20-Jan-90,Michael Bolton,"""How Am I Supposed to Live Without You""",3
10-Feb-90,Paula Abdul & The Wild Pair,"""Opposites Attract""",3
3-Mar-90,Janet Jackson,"""Escapade""",3
24-Mar-90,Alannah Myles,"""Black Velvet""",2
7-Apr-90,Taylor Dayne,"""Love Will Lead You Back""",1
14-Apr-90,Tommy Page,"""I'll Be Your Everything""",1
21-Apr-90,Sinéad O'Connor,"""Nothing Compares 2 U""",4
19-May-90,Madonna,"""Vogue""",3
9-Jun-90,Wilson Phillips,"""Hold On""? (1990)",1
16-Jun-90,Roxette,"""It Must Have Been Love""",2
30-Jun-90,New Kids on the Block,"""Step By Step""",3
21-Jul-90,Glenn Medeiros featuring Bobby Brown,"""She Ain't Worth It""",2
4-Aug-90,Mariah Carey,"""Vision Of Love""",4
1-Sep-90,Sweet Sensation,"""If Wishes Came True""",1
8-Sep-90,Jon Bon Jovi,"""Blaze Of Glory""",1
15-Sep-90,Wilson Phillips,"""Release Me""",2
29-Sep-90,Nelson,"""(Can't Live Without Your) Love And Affection""",1
6-Oct-90,Maxi Priest,"""Close To You""",1
13-Oct-90,George Michael,"""Praying For Time""",1
20-Oct-90,James Ingram,"""I Don't Have the Heart""",1
27-Oct-90,Janet Jackson,"""Black Cat""",1
3-Nov-90,Vanilla Ice,"""Ice Ice Baby""",1
10-Nov-90,Mariah Carey,"""Love Takes Time""",3
1-Dec-90,Whitney Houston,"""I'm Your Baby Tonight""",1
8-Dec-90,Stevie B,"""Because I Love You (The Postman Song)""",4
5-Jan-91,Madonna,"""Justify My Love""",2
19-Jan-91,Janet Jackson,"""Love Will Never Do (Without You)""",1
26-Jan-91,Surface,"""The First Time""",2
9-Feb-91,C+C Music Factory featuring Freedom Williams,"""Gonna Make You Sweat (Everybody Dance Now)""",2
23-Feb-91,Whitney Houston,"""All The Man That I Need""",2
9-Mar-91,Mariah Carey,"""Someday""",2
23-Mar-91,Timmy T,"""One More Try""",1
30-Mar-91,Gloria Estefan,"""Coming Out Of The Dark""",2
13-Apr-91,Londonbeat,"""I've Been Thinking About You""",1
20-Apr-91,Wilson Phillips,"""You're In Love""",1
27-Apr-91,Amy Grant,"""Baby Baby""",2
11-May-91,Roxette,"""Joyride""",1
18-May-91,Hi-Five,"""I Like the Way (The Kissing Game)""",1
25-May-91,Mariah Carey,"""I Don't Wanna Cry""",2
8-Jun-91,Extreme,"""More Than Words""",1
15-Jun-91,Paula Abdul,"""Rush Rush""",5
20-Jul-91,EMF,"""Unbelievable""",1
27-Jul-91,Bryan Adams,"""(Everything I Do) I Do It For You""? (1991)",7
14-Sep-91,Paula Abdul,"""The Promise of a New Day""",1
21-Sep-91,Color Me Badd,"""I Adore Mi Amor""",2
5-Oct-91,Marky Mark & the Funky Bunch featuring Loleatta Holloway,"""Good Vibrations""",1
12-Oct-91,Mariah Carey,"""Emotions""",3
2-Nov-91,Karyn White,"""Romantic""",1
9-Nov-91,Prince & The New Power Generation,"""Cream""",2
23-Nov-91,Michael Bolton,"""When A Man Loves A Woman""",1
30-Nov-91,P.M. Dawn,"""Set Adrift On Memory Bliss""",1
7-Dec-91,Michael Jackson,"""Black or White""",7
25-Jan-92,Color Me Badd,"""All 4 Love""",1
1-Feb-92,George Michael & Elton John,"""Don't Let The Sun Go Down On Me""",1
8-Feb-92,Right Said Fred,"""I'm Too Sexy""",3
29-Feb-92,Mr. Big,"""To Be With You""",3
21-Mar-92,Vanessa Williams,"""Save the Best for Last""",5
25-Apr-92,Kris Kross,"""Jump""",8
20-Jun-92,Mariah Carey,"""I'll Be There""",2
4-Jul-92,Sir Mix-A-Lot,"""Baby Got Back""",5
8-Aug-92,Madonna,"""This Used To Be My Playground""",1
15-Aug-92,Boyz II Men,"""End Of The Road""? (1992)",13
14-Nov-92,The Heights,"""How Do You Talk To An Angel""",2
28-Nov-92,Whitney Houston,"""I Will Always Love You""? (1993)",14
6-Mar-93,Peabo Bryson & Regina Belle,"""A Whole New World""",1
13-Mar-93,Snow,"""Informer""",7
1-May-93,Silk,"""Freak Me""",2
15-May-93,Janet Jackson,"""That's The Way Love Goes""",8
10-Jul-93,SWV,"""Weak""",2
24-Jul-93,UB40,"""Can't Help Falling In Love""",7
11-Sep-93,Mariah Carey,"""Dreamlover""",8
6-Nov-93,Meat Loaf,"""I'd Do Anything for Love (But I Won't Do That)""",5
11-Dec-93,Janet Jackson,"""Again""",2
25-Dec-93,Mariah Carey,"""Hero""",4
22-Jan-94,"Bryan Adams, Rod Stewart & Sting","""All For Love""",3
12-Feb-94,Céline Dion,"""The Power Of Love""",4
12-Mar-94,Ace Of Base,"""The Sign"" ? (1994)",6
9-Apr-94,R. Kelly,"""Bump n' Grind""",4
21-May-94,All-4-One,"""I Swear""",11
6-Aug-94,Lisa Loeb & Nine Stories,"""Stay (I Missed You)""",3
27-Aug-94,Boyz II Men,"""I'll Make Love To You""",14
3-Dec-94,Boyz II Men,"""On Bended Knee""",6
17-Dec-94,Ini Kamoze,"""Here Comes The Hotstepper""",2
28-Jan-95,TLC,"""Creep""",4
25-Feb-95,Madonna,"""Take A Bow""",7
15-Apr-95,Montell Jordan,"""This Is How We Do It""",7
3-Jun-95,Bryan Adams,"""Have You Ever Really Loved A Woman""",5
8-Jul-95,TLC,"""Waterfalls""",7
26-Aug-95,Seal,"""Kiss From A Rose""",1
2-Sep-95,Michael Jackson,"""You Are Not Alone""",1
9-Sep-95,Coolio featuring L.V.,"""Gangsta's Paradise""? (1995)",3
30-Sep-95,Mariah Carey,"""Fantasy""",8
25-Nov-95,Whitney Houston,"""Exhale (Shoop Shoop)""",1
2-Dec-95,Mariah Carey & Boyz II Men,"""One Sweet Day""",16
23-Mar-96,Céline Dion,"""Because You Loved Me""",6
4-May-96,Mariah Carey,"""Always Be My Baby""",2
18-May-96,Bone Thugs-N-Harmony,"""Tha Crossroads""",8
13-Jul-96,2Pac featuring K-Ci & JoJo / Dr. Dre and Roger Troutman,"""How Do U Want It"" / ""California Love""",2
27-Jul-96,Toni Braxton,"""You're Makin' Me High"" / ""Let It Flow""",1
3-Aug-96,Los Del Rio,"""Macarena (Bayside Boys Mix)""? (1996)",14
9-Nov-96,Blackstreet featuring Dr. Dre,"""No Diggity""",4
7-Dec-96,Toni Braxton,"""Un-Break My Heart""",11
22-Feb-97,Spice Girls,"""Wannabe""",4
22-Mar-97,Puff Daddy featuring Mase,"""Can't Nobody Hold Me Down""",6
3-May-97,The Notorious B.I.G.,"""Hypnotize""",3
24-May-97,Hanson,"""MMMBop""",3
14-Jun-97,Puff Daddy & Faith Evans featuring 112,"""I'll Be Missing You""",11
30-Aug-97,The Notorious B.I.G. featuring Puff Daddy & Mase,"""Mo Money Mo Problems""",2
13-Sep-97,Mariah Carey,"""Honey""",3
4-Oct-97,Boyz II Men,"""4 Seasons of Loneliness""",1
11-Oct-97,Elton John,"""Candle in the Wind '97"" / ""Something About the Way You Look Tonight""",14
17-Jan-98,Savage Garden,"""Truly Madly Deeply""",2
31-Jan-98,Janet Jackson,"""Together Again""",2
14-Feb-98,Usher,"""Nice And Slow""",2
28-Feb-98,Céline Dion,"""My Heart Will Go On""",2
14-Mar-98,Will Smith,"""Gettin' Jiggy Wit It""",3
4-Apr-98,K-Ci & JoJo,"""All My Life""",3
25-Apr-98,Next,"""Too Close""?(1998)",5
23-May-98,Mariah Carey,"""My All""",1
6-Jun-98,Brandy & Monica,"""The Boy Is Mine""",13
5-Sep-98,Aerosmith,"""I Don't Want To Miss A Thing""",4
3-Oct-98,Monica,"""The First Night""",5
17-Oct-98,Barenaked Ladies,"""One Week""",1
14-Nov-98,Lauryn Hill,"""Doo Wop (That Thing)""",2
28-Nov-98,Divine,"""Lately""",1
5-Dec-98,R. Kelly & Céline Dion,"""I'm Your Angel""",6
16-Jan-99,Brandy,"""Have You Ever""",2
30-Jan-99,Britney Spears,"""Baby One More Time""",2
13-Feb-99,Monica,"""Angel Of Mine""",4
13-Mar-99,Cher,"""Believe""? (1999)",4
10-Apr-99,TLC,"""No Scrubs""",4
8-May-99,Ricky Martin,"""Livin' La Vida Loca""",5
12-Jun-99,Jennifer Lopez,"""If You Had My Love""",5
17-Jul-99,Destiny's Child,"""Bills, Bills, Bills""",1
24-Jul-99,Will Smith featuring Dru Hill & Kool Moe Dee,"""Wild Wild West""",1
31-Jul-99,Christina Aguilera,"""Genie In A Bottle""",5
4-Sep-99,Enrique Iglesias,"""Bailamos""",2
18-Sep-99,TLC,"""Unpretty""",3
9-Oct-99,Mariah Carey featuring Jay-Z,"""Heartbreaker""",2
23-Oct-99,Santana featuring Rob Thomas,"""Smooth""",12
